Feature,ANOVA F-score,ANOVA p-value,Dropped by Correlation Pruning,Permutation Importance Mean,Permutation Importance Std,Importance Rank
Destination Port,9588.082271808536,0.0,False,0.41422574139471946,0.019991516161821907,1
Init_Win_bytes_backward,4333.394033081295,0.0,False,0.30965029559729546,0.020596968824282132,2
Flow IAT Std,20375.298287771988,0.0,False,0.16604546002947076,0.011231654076002016,3
Fwd IAT Mean,9107.77831748007,0.0,False,0.14888381927987074,0.025062103992594658,4
Init_Win_bytes_forward,9194.797089332274,0.0,False,0.14279035872721657,0.0060517137670953736,5
Flow Duration,17679.735474808513,0.0,False,0.13246092036014842,0.00694304133652708,6
Bwd Packet Length Max,39609.10564713889,0.0,False,0.12387706659815172,0.05796854181197338,7
Bwd Packets/s,6565.520697905798,0.0,False,0.11887177279550602,0.0029844380417085926,8
Packet Length Variance,19953.350877317494,0.0,False,0.08630259829448184,0.019073165325304106,9
PSH Flag Count,25397.551072042585,0.0,False,0.0755839461306218,0.00017706729827035548,10
Flow IAT Mean,8397.987678738507,0.0,False,0.045412966762713745,0.0028044910984396532,11
Bwd Packet Length Min,17169.96062966371,0.0,False,0.033760677709186414,0.0017009495428598111,12
URG Flag Count,5604.873769132922,0.0,False,0.02819183319986814,0.02524873674305616,13
Min Packet Length,16334.508008803441,0.0,False,0.004574539731728611,0.0006312506553491903,14
ACK Flag Count,11750.387718650922,0.0,False,0.0008331474593250935,0.00016330789315358905,15
FIN Flag Count,4177.8622607025945,0.0,False,0.0,0.0,16
